10.12.2021 17:33:51 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <7427.963379, 216.257401, 5138.069336>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <7459.373535, 214.526321, 5112.597168>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <7422.687500, 395.775604, 9055.251953>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <7439.775391, 392.425446, 9039.586914>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <7415.062012, 393.608124, 9047.363281>
19.12.2021 17:46:05 [Dayz-Dog] 'DayzDog.json' found, loading existing config
19.12.2021 17:46:20 [Dayz-Dog] Spawned Wild Dog at <2299.426514, 274.810822, 9075.166992>
19.12.2021 17:46:20 [Dayz-Dog] Spawned Wild Dog at <2288.148682, 274.391632, 9090.602539>
19.12.2021 17:46:20 [Dayz-Dog] Spawned Wild Dog at <3377.398682, 194.088898, 3996.257080>
19.12.2021 17:46:20 [Dayz-Dog] Spawned Wild Dog at <3363.762695, 189.918839, 3978.101318>
19.12.2021 17:46:20 [Dayz-Dog] Spawned Wild Dog at <3400.778809, 200.623108, 4012.406250>
19.12.2021 17:46:20 [Dayz-Dog] Spawned Wild Dog at <3378.519775, 193.517136, 3990.688477>
19.12.2021 17:46:20 [Dayz-Dog] Spawned Wild Dog at <10760.018555, 6.176826, 2420.733643>
